site_cd,site_nm
913,BLUE MESA RESERVOIR
915,CRYSTAL RESERVOIR
917,FLAMING GORGE RESERVOIR
1999,GRANBY RESERVOIR
2000,GREEN MOUNTAIN RESERVOIR
919,LAKE POWELL
914,MORROW POINT RESERVOIR
2002,RUEDI RESERVOIR
928,STARVATION RESERVOIR
2005,WILLIAMS FORK RESERVOIR
